Survey,Classifier,Multiclass,Executors,Trees,Labeled,Recall,Precision,FPR,F1,F4,Time.Split,Time.Train,Time.Test,Repetition,SupervisedTrees,Semi-SupervisedTrees,Ratio.S-SSL
gbt350drift,CoDRIFt,2,1,10,1,0.953488372,0.697063369,0.012916831,0.805357143,0.933292757,5.120536174,100.6646818,0.004468881,1,33,44,0.428571429
gbt350drift,CoDRIFt,2,1,10,1,0.966360856,0.722010663,0.012033496,0.826503923,0.947498383,60.39761286,81.03919088,0.005373178,2,39,37,0.513157895
gbt350drift,CoDRIFt,2,1,10,1,0.962338949,0.744061303,0.011024558,0.839239412,0.946014098,4.177853646,99.20114269,0.005483846,3,36,42,0.461538462
gbt350drift,CoDRIFt,2,1,10,1,0.970619098,0.72265625,0.011705741,0.828481863,0.951415779,4.277673874,108.5743519,0.00605416,4,31,44,0.413333333
gbt350drift,CoDRIFt,2,1,10,1,0.957688338,0.719937936,0.011906332,0.821966342,0.939439052,4.960492099,115.22271,0.005481697,5,37,39,0.486842105
gbt350drift,CoDRIFt,2,1,10,10,0.963227783,0.723714505,0.011871785,0.826468011,0.94483409,8.433221666,103.1348512,0.006058184,1,46,30,0.605263158
gbt350drift,CoDRIFt,2,1,10,10,0.948393379,0.746360153,0.01093203,0.835334477,0.933528782,2.680360269,65.92820208,0.005153635,2,40,39,0.506329114
gbt350drift,CoDRIFt,2,1,10,10,0.961038961,0.752150117,0.010469648,0.843859649,0.945591211,4.270809396,90.96986454,0.010238156,3,47,34,0.580246914
gbt350drift,CoDRIFt,2,1,10,10,0.97826087,0.722477064,0.011963615,0.831134565,0.958303508,5.455785158,80.28469979,0.005233283,4,43,35,0.551282051
gbt350drift,CoDRIFt,2,1,10,10,0.956564659,0.737442922,0.011385763,0.832831972,0.940132405,4.862636455,101.4196906,0.006380598,5,48,31,0.607594937
gbt350drift,CoDRIFt,2,1,10,15,0.957884427,0.7482785,0.010863105,0.840206186,0.942356742,3.01211985,72.50313202,0.007216675,1,43,33,0.565789474
gbt350drift,CoDRIFt,2,1,10,15,0.94971537,0.766462481,0.010081978,0.848305085,0.936543753,62.08996036,87.35753313,0.006973683,2,42,35,0.545454545
